Dataset,Subset,Smoothness,Integer Percentage,Average Run Length,Gorilla CR,Sprintz CR,ToBinary CR,gzip CR,DFCMGorilla CR,DFCMSprintz CR
appended,MelbournePedestrian,130800.4363,0.004557823,1.014650561,0.67,0.6,0.66,0.428857882,0.67,0.62
appended,ECGFiveDays,35106.61287,0,1.051754646,0.63,0.58,0.64,0.34199379,0.63,0.59
appended,Wine,909.1589276,0,1.005330999,0.68,0.58,0.66,0.415898602,0.68,0.57
appended,SemgHandMovementCh2,674290.0118,0,1,0.67,0.6,0.65,0.432891914,0.67,0.63
appended,FreezerSmallTrain,3289149.677,0,1.000088602,0.74,0.56,0.72,0.342093551,0.74,0.57
appended,UWaveGestureLibraryZ,34584.51948,0,1.351221014,0.52,0.46,0.68,0.327838047,0.52,0.44
appended,NonInvasiveFetalECGThorax1,524192.5108,0,1.014641135,0.69,0.58,0.68,0.415451817,0.69,0.58
appended,TwoLeadECG,166873.8789,0,1.082336717,0.64,0.59,0.67,0.372715722,0.64,0.6
appended,Lightning7,81130.86635,0,1.202820685,0.56,0.49,0.65,0.357269534,0.56,0.51
appended,Phoneme,9679553.301,0,1.000013907,0.71,0.62,0.68,0.430482077,0.71,0.63
appended,SemgHandSubjectCh2,380450.7955,0,1,0.67,0.6,0.65,0.432636151,0.67,0.63
appended,DodgerLoopWeekend,179297.9723,3.52E-04,1.087808617,0.63,0.6,0.67,0.200897004,0.63,0.62
appended,MiddlePhalanxOutlineAgeGroup,9743.897577,0,1.01683863,0.69,0.6,0.68,0.426359004,0.69,0.61
appended,GestureMidAirD1,2213.394775,0,1,0.68,0.56,0.66,0.430993791,0.68,0.54
appended,DistalPhalanxOutlineCorrect,4888.327532,0,1.112572436,0.63,0.55,0.68,0.395646597,0.63,0.57
appended,DistalPhalanxTW,14696.76673,0,1.133319743,0.62,0.54,0.68,0.392774518,0.62,0.56
appended,FacesUCR,701341.1927,0,1.010099148,0.68,0.62,0.67,0.431416333,0.68,0.64
appended,ECG5000,44873.69527,0,1.000325503,0.69,0.6,0.67,0.430123435,0.69,0.61
appended,ShakeGestureWiimoteZ,2890.587244,0,1,0.68,0.58,0.66,0.440666201,0.68,0.58
appended,GesturePebbleZ1,7419.088818,0,1,0.66,0.56,0.64,0.431649364,0.66,0.56
appended,HandOutlines,2105528.523,9.98E-07,1.011917021,0.7,0.57,0.69,0.329377357,0.7,0.54
appended,GunPointMaleVersusFemale,21654.82306,0,1.002432112,0.67,0.55,0.66,0.419658219,0.67,0.54
appended,Coffee,779.3247533,0,1,0.71,0.6,0.69,0.436018855,0.71,0.6
appended,Rock,4931.27301,0,1.009950425,0.68,0.55,0.66,0.410582938,0.68,0.54
appended,MixedShapesSmallTrain,175182.2051,0,1.000215494,0.72,0.6,0.7,0.426026754,0.72,0.57
appended,AllGestureWiimoteZ,22938.70362,0,1.000008572,0.67,0.57,0.65,0.433775542,0.67,0.56
appended,FordB,1697804.227,0,1.000002469,0.71,0.62,0.69,0.432325813,0.71,0.64
appended,FiftyWords,129282.915,0,1,0.69,0.58,0.67,0.42287493,0.69,0.57
